Word,DominantModality,VisualStrengthMean,AuditoryStrengthMean,HapticStrengthMean,GustatoryStrengthMean,OlfactoryStrengthMean,ModalityExclusivity
academy,Visual,2.705882353,1.411764706,0.470588235,0.058823529,0.117647059,0.555555556
account,Auditory,1.411764706,1.705882353,0.352941176,0.117647059,0.235294118,0.415384615
addition,Visual,3.058823529,1.294117647,0.882352941,0.470588235,0.647058824,0.407407407
administration,Visual,2.625,1.75,0.5,0.0625,0.25,0.493975904
advantage,Visual,3.117647059,1.705882353,0.529411765,0.352941176,0.470588235,0.447619048
aim,Visual,2.647058824,1.411764706,1.117647059,0.235294118,0.470588235,0.41
air,Olfactory,1.352941176,1.058823529,2.117647059,1.470588235,2.529411765,0.172413793
amount,Visual,4.058823529,2,3.117647059,1.647058824,1.352941176,0.222222222
appeal,Visual,3.294117647,2.294117647,1.235294118,1.411764706,1.294117647,0.216049383
arrangement,Visual,3.411764706,1.823529412,1.470588235,0.294117647,0.470588235,0.417322835
baby,Visual,4.882352941,4.235294118,3.647058824,0.823529412,3.117647059,0.242957746
back,Visual,3.941176471,0.647058824,2.941176471,0.294117647,0.529411765,0.436619718
balance,Visual,2.941176471,1.235294118,1.764705882,0.411764706,0.294117647,0.398230088
bank,Visual,4.411764706,1.294117647,1.235294118,0.058823529,0.294117647,0.596774194
bear,Visual,4.470588235,3.117647059,2.470588235,0.470588235,1.882352941,0.322274882
beauty,Visual,4.941176471,1.941176471,2.352941176,0.941176471,1.764705882,0.334975369
beginning,Visual,3,2,1.375,0.625,0.875,0.301587302
blame,Auditory,2.294117647,2.352941176,0.529411765,0.176470588,0.411764706,0.37755102
blanket,Haptic,4,0.352941176,4.235294118,0.176470588,1.647058824,0.389830508
border,Visual,3.6875,0.375,1.875,0.0625,0.25,0.58
bore,Visual,2.117647059,1.882352941,0.647058824,0.470588235,0.411764706,0.308510638
bother,Visual,2.588235294,1.882352941,1.058823529,0.529411765,0.411764706,0.336363636
business,Visual,3.529411765,1.823529412,0.647058824,0.294117647,0.470588235,0.47826087
call,Auditory,2.176470588,4.470588235,1,0.058823529,0.176470588,0.559701493
capacity,Visual,3.941176471,1.4375,2.8125,0.5,0.5,0.3744
career,Visual,3.117647059,2.117647059,0.882352941,0.411764706,0.411764706,0.389830508
cast,Visual,3.588235294,1.588235294,1.294117647,0.176470588,0.588235294,0.471544715
center,Visual,4,0.705882353,2.294117647,0.470588235,0.352941176,0.466165414
chain,Visual,4.3125,2.125,3.8125,0.1875,0.466666667,0.378295759
chair,Visual,4.647058824,0.705882353,4.235294118,0.058823529,0.411764706,0.456140351
city,Visual,4.705882353,4,1.529411765,1.058823529,2.588235294,0.262711864
closer,Visual,3.705882353,2.294117647,2.823529412,0.647058824,1.529411765,0.278074866
collection,Visual,3.705882353,1.352941176,2.352941176,0.294117647,0.529411765,0.414285714
competition,Visual,3.529411765,2.588235294,0.882352941,0.470588235,0.823529412,0.368794326
concept,Visual,2.764705882,2.352941176,1.117647059,1,0.882352941,0.231884058
consequence,Visual,3.588235294,2.705882353,1.470588235,0.882352941,0.705882353,0.308176101
contact,Haptic,3.411764706,2.529411765,3.529411765,1.058823529,1.117647059,0.212121212
cope,Visual,2.058823529,1.117647059,0.823529412,0.176470588,0.352941176,0.415584416
core,Visual,2.764705882,0.823529412,1.823529412,0.705882353,0.470588235,0.348214286
cost,Visual,3.235294118,1.588235294,0.882352941,0.411764706,0.352941176,0.445454545
cup,Visual,4.235294118,1.176470588,3.941176471,1.235294118,1.058823529,0.272727273
cut,Visual,3.705882353,1.176470588,3.529411765,0.352941176,0.529411765,0.360759494
dance,Visual,4.647058824,2.176470588,2.176470588,0,0.235294118,0.503184713
deal,Visual,2.411764706,2,1,0.294117647,0.411764706,0.346153846
deck,Visual,3.411764706,1,2,0.117647059,0.411764706,0.474576271
democracy,Visual,2.823529412,2.294117647,0.176470588,0,0.058823529,0.527472527
department,Visual,3.588235294,1.588235294,0.470588235,0.176470588,0.882352941,0.50877193
development,Visual,3.764705882,2.117647059,1.647058824,1.294117647,1.117647059,0.266272189
direction,Visual,4.058823529,2.294117647,1.411764706,0.294117647,0.764705882,0.426666667
dispute,Visual,3.588235294,3.235294118,0.823529412,0.117647059,0.176470588,0.437037037
distinction,Visual,2.941176471,2.176470588,1.941176471,1.470588235,1.529411765,0.14619883
dive,Visual,3.882352941,2,1.764705882,0.176470588,0.411764706,0.45
doctor,Visual,4.470588235,3,1.647058824,0.705882353,1.294117647,0.338624339
drama,Visual,3.941176471,3.235294118,0.941176471,0.235294118,0.411764706,0.422818792
dream,Visual,3.176470588,2.176470588,0.823529412,0.529411765,0.764705882,0.354330709
duty,Visual,2.411764706,1.588235294,0.470588235,0.176470588,0.352941176,0.447058824
economy,Visual,2.117647059,1.882352941,0.470588235,0.058823529,0.125,0.442338073
edge,Visual,3.941176471,0.529411765,3.588235294,0.176470588,0.117647059,0.457746479
education,Visual,3.941176471,3.705882353,1.058823529,0.529411765,0.588235294,0.347305389
emotion,Visual,3.647058824,2.882352941,2.411764706,0.941176471,0.764705882,0.270718232
enthusiasm,Visual,3.705882353,3.294117647,1.294117647,0.529411765,0.529411765,0.339622642
entrance,Visual,4.352941176,1,1.882352941,0.176470588,0.647058824,0.518248175
equipment,Visual,4.235294118,1.529411765,3.352941176,0.411764706,0.882352941,0.367231638
estimate,Visual,2.705882353,1.588235294,1.588235294,0.823529412,0.705882353,0.26984127
exchange,Visual,3.176470588,1.882352941,1.764705882,0.529411765,0.647058824,0.330882353
excitement,Visual,3.941176471,3.529411765,2.176470588,1.176470588,1.294117647,0.22815534
expansion,Visual,3.941176471,1.705882353,2.8125,0.470588235,0.411764706,0.377804014
extreme,Visual,3.411764706,2.235294118,1.941176471,1.588235294,1.823529412,0.165775401
eye,Visual,4.764705882,0.058823529,2.235294118,0,0,0.675
fact,Auditory,3.352941176,3.352941176,1.176470588,0.647058824,1.058823529,0.282208589
factory,Visual,4.588235294,3.176470588,1.470588235,0.588235294,3.058823529,0.310502283
failure,Visual,3.470588235,2.411764706,1.294117647,0.941176471,0.705882353,0.313333333
faint,Visual,3,1.058823529,2.058823529,0.411764706,0.294117647,0.396551724
